,kaggle_id,title,keywords
0,862,Toy Story,"jealousy, toy, boy, friendship, friends, rivalry, boy next door, new toy, toy comes to life"
1,8844,Jumanji,"board game, disappearance, based on children's book, new home, recluse, giant insect"
2,15602,Grumpier Old Men,"fishing, best friend, duringcreditsstinger, old men"
3,31357,Waiting to Exhale,"based on novel, interracial relationship, single mother, divorce, chick flick"
4,11862,Father of the Bride Part II,"baby, midlife crisis, confidence, aging, daughter, mother daughter relationship, pregnancy, contraception, gynecologist"
5,949,Heat,"robbery, detective, bank, obsession, chase, shooting, thief, honor, murder, suspense, heist, betrayal, money, gang, cat and mouse, criminal mastermind, cult film, ex-con, heist movie, one last job, loner, bank job, neo-noir, gun fight, crime epic"
6,11860,Sabrina,"paris, brother brother relationship, chauffeur, long island, fusion, millionaire"
7,45325,Tom and Huck,
8,9091,Sudden Death,"terrorist, hostage, explosive, vice president"
9,710,GoldenEye,"cuba, falsely accused, secret identity, computer virus, secret base, secret intelligence service, kgb, satellite, special car, cossack, electromagnetic pulse, time bomb, st. petersburg russia, ejection seat, red army"
10,9087,The American President,"white house, usa president, new love, widower, wildlife conservation"
11,12110,Dracula: Dead and Loving It,"dracula, spoof"
12,21032,Balto,"wolf, dog-sledding race, alaska, dog, goose, bear attack, dog sled, frozen lake"
13,10858,Nixon,"usa president, presidential election, watergate scandal, biography, government, historical figure"
14,1408,Cutthroat Island,"exotic island, treasure, map, ship, scalp, pirate"
15,524,Casino,"poker, drug abuse, 1970s, overdose, illegal prostitution"
16,4584,Sense and Sensibility,"bowling, based on novel, servant, country life, jane austen, inheritance, military officer, period drama, rainstorm, horse and carriage, decorum"
17,5,Four Rooms,"hotel, new year's eve, witch, bet, hotel room, sperm, los angeles, hoodlum, woman director, episode film"
18,9273,Ace Ventura: When Nature Calls,"africa, indigenous, human animal relationship, bat"
19,11517,Money Train,"brother brother relationship, subway, new york city, new york subway, train robbery"
20,8012,Get Shorty,"gambling, miami, based on novel, job, murder, travel, mafia, money, debt, mobster, business, hollywood, gangster, crime, violence, drug, producer, con"
21,1710,Copycat,"police brutality, psychology, police operation, police protection, serial killer, psychologist, cowardliness"
22,9691,Assassins,"competition, assassination, cia, bank, cat, mexican standoff, seattle, hitman, mission of murder, hidden camera, rivalry, rescue, shootout, police chase, sniper rifle, silencer, double cross, caribbean, detroit michigan"
23,12665,Powder,"dead animal, shot to death, teenage boy, held at gunpoint, teacher student relationship, albino, fainting, jacobs ladder, christ allegory, psionic power, healing power, looking pale, flickering light, extrasensory perception"
24,451,Leaving Las Vegas,"individual, prostitute, alcohol, casino, love at first sight, lovesickness, film producer, screenwriter, hotel room, dying and death, rage and hate, unsociability, alcoholism, los angeles, alcohol abuse, attempted suicide"
25,16420,Othello,"shakespeare, jealousy, friends, moor"
26,9263,Now and Then,"1970s, female friendship, coming of age, gynecologist, photocopier, truth or dare, woman director"
27,17015,Persuasion,"captain, napoleonic wars, old flame, admiral"
28,902,The City of Lost Children,"clone, dream, island, eye, dystopia, aging, friendship, rescue, children, girl, childhood"
29,37557,Shanghai Triad,"servant, cabaret, shanghai, diva, uncle, mistress, umbrella"
30,9909,Dangerous Minds,"rap music, karate, high school, naval officer, teacher, amusement park"
31,63,Twelve Monkeys,"schizophrenia, philadelphia, cassandra syndrom, stockholm syndrome, time travel, post-apocalyptic, dystopia, lethal virus, monkey, subterranean"
32,78802,Wings of Courage,
33,9598,Babe,"sheep, pig, affection, piglet, heroism, talking animal, separation, german shepherd, grandson, talking pig"
34,47018,Carrington,"england, painter, conscientious objector, independent film, soldier"
35,687,Dead Man Walking,"prison, rape, socially deprived family, penalty, death penalty, despair, death row, begnadigung, therapist, self-discovery, prison cell, court case, death sentence, doomed man, sentence, lethal injection, forgiveness, charity, mercy petition, rage and hate, unsociability, right and justice, court, electric chair, cowardliness"
36,139405,Across the Sea of Time,
37,33689,It Takes Two,"orphan, identical twin"
38,9603,Clueless,"puberty, high school, make a match, spoiled child, gay interest, conflict, woman director"
39,34615,"Cry, the Beloved Country",south africa
40,31174,Richard III,"england, shakespeare, kidnapping, murder, king"
41,11443,Dead Presidents,"money, loss of virginity, hiding in a dumpster, mercy killing, armored truck, crushed by a car"
42,35196,Restoration,"jealousy, medicine, fountain, court, wealth, spaniel, gloves"
43,9312,Mortal Kombat,"martial arts, monster, island, gore, sorcerer, tournament, violence, based on video game, hand to hand combat"
44,577,To Die For,"adultery, winter, obsession, television, new hampshire, narcissistic personality disorder"
45,11861,How To Make An American Quilt,"wedding vows, marriage proposal, married couple, monogamy, advice, marriage, quilt, love, family holiday, extramarital affair, grandmother, woman director"
46,807,Se7en,"self-fulfilling prophecy, detective, s.w.a.t., drug dealer, evisceration, lust and impulsiveness, rage and hate, pride and vanity, immoderateness, insomnia, investigation, pension, police, serial killer"
47,10530,Pocahontas,"culture clash, settler, forbidden love, colony, musical, gold rush, princess, romance, native american, animation, virginia, star crossed lovers, reference to pizarro, jamestown virginia, pug dog, cross cultural relationship, musket, animate tree, indian chief, based on myths or folklore, 17th century, shamanism, songs, indians vs. settlers, animal sidekick, powhatan, land claim"
48,8391,When Night Is Falling,"professor, lgbt, woman director"
49,629,The Usual Suspects,"law, relatives, theft, criminal, criminal mastermind, hungarian, sibling"
50,117164,Guardian Angel,
51,11448,Mighty Aphrodite,"prostitute, adoption, adoptive father, childlessness, looking for  birth parents, adoptive mother, independent film, illegal prostitution, child"
52,49133,Lamerica,independent film
53,26441,The Big Green,"sport, kids and family, soccer, woman director"
54,97406,Georgia,"alcohol, artist, music, drug, band"
55,124057,Kids of the Round Table,
56,9089,Home for the Holidays,"baltimore, thanksgiving, family clan, family conflict, generations conflict, woman director"
57,11010,The Postman,"island, letter, postman, fisherman, poet"
58,99040,The Confessional,
59,11359,The Indian in the Cupboard,"cupboard, games, puppet, parallel world, toy comes to life"
60,17182,Eye for an Eye,"rape, gun, self-defense, grieving parents"
61,2054,Mr. Holland's Opus,"composer, mentor, deaf-mute, musical, apprentice, private life, music, disabled"
62,10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,"date, slang, hip-hop, cousin, parody, hood, gang, social satire, racism, gangster"
63,19760,Two If by Sea,"island, painting, thief, seasickness"
64,9536,Bio-Dome,"biotope, vegetarian, pollution"
65,11525,Lawnmower Man 2: Beyond Cyberspace,"hacker, virtual reality, computer, sword fight"
66,40628,Two Bits,
67,4482,French Twist,"love triangle, southern france, estate agent, menage a trois, van, woman director"
68,10634,Friday,"rap music, parent child relationship, rapper, job"
69,755,From Dusk Till Dawn,"dancing, brother brother relationship, sexual obsession, showdown, sheriff, eroticism, nudity, bank robber, vampire, holy water, siege, stripper, priest, explosion, extreme violence, bank robbery, preacher, hostage situation, crucifix, recreational vehicle, blood spurting, convenience store, female vampire, mexican american border, nightclub entertainer, boa constrictor"
70,11859,Fair Game,"bomb, miami, sex, detective, handcuffs, based on novel, hostage, fbi, kidnapping, russian, kgb, chase, sadism, parking garage, pizza, police protection, psychopath, remake, car crash, conspiracy, on the run, fugitive, shootout, gunfight, sadist, foot chase, police detective, police station, car chase, held at gunpoint, fbi agent, double cross, cult film, computer hacker, machine gun, swat team, grenade launcher, underwater scene, rogue agent, woman lawyer, damsel in distress"
71,28387,Kicking and Screaming,college
72,48750,Les Miserables,"paris, nun, boxer, lawyer, jewish"
73,20927,Bed of Roses,"florist, family relationships"
74,36929,Big Bully,bully
75,9102,Screamers,"man vs machine, alien planet, struggle for survival"
76,124626,Nico Icon,
77,27526,The Crossing Guard,"loss of daughter, hit-and-run driving , revenge, suspense, independent film, tragedy"
78,9623,The Juror,"jurors, blackmail, court case, son, trial, courtroom"
79,46785,The White Balloon,"fish, money, celebration, goldfish"
80,400,Things to Do in Denver When You're Dead,"father son relationship, bounty hunter, boat, way of life, coffin, denver, godmother, paranoia, hitman, friendship, psychopath, revenge, murder, independent film, mafia, diner, blood, gangster, violence, illegal prostitution, extramarital affair"
81,880,Antonia's Line,"suicide, underdog, free love, philosophy, rape, mentally disabled, loss of mother, village life, world war ii, feminism, indian summer , family history, widow, peasant, village, mathematics, freedom, right and justice, single, homosexuality, mother daughter relationship, domestic violence, university, woman director"
82,146599,Once Upon a Time... When We Were Colored,"racial segregation, family relationships, rural setting, african american"
